nrooms,create_file_begin_date
20,2023-06-03
17,2023-08-09
170,2023-08-02
34,2023-08-03
111,2023-08-10
18,2023-09-04
20,2023-08-21
17,2023-08-10
118,2023-09-25
83,2023-09-15
